pplus_low,pplus_high,pminus_low,pminus_high,ot_hybrid_weight
0.56,0.64,4.72,4.8,0.9927132894574645
0.56,0.64,4.8,4.88,0.9938183564509107
0.56,0.64,4.88,4.96,0.9935221365966116
0.56,0.64,4.96,5.04,0.994241207789934
0.56,0.64,5.04,5.12,0.9938549068121956
0.56,0.64,5.12,5.2,0.994901810268585
0.56,0.64,5.2,5.28,0.9949513252587793
0.64,0.72,0.0,0.08,0.0
0.64,0.72,0.08,0.16,0.0
0.64,0.72,0.16,0.24,0.0
0.64,0.72,0.24,0.32,0.0
0.64,0.72,0.32,0.4,0.0
0.64,0.72,0.4,0.48,0.0
0.64,0.72,0.48,0.56,0.0
0.64,0.72,0.56,0.64,0.0
0.64,0.72,0.64,0.72,0.0
0.64,0.72,0.72,0.8,0.0
0.64,0.72,0.8,0.88,0.0
0.64,0.72,0.88,0.96,0.0
0.64,0.72,0.96,1.04,0.0
0.64,0.72,1.04,1.12,0.22739120248346942
0.64,0.72,1.12,1.2,0.6574470901659701
0.64,0.72,1.2,1.28,0.6816336799731634
0.64,0.72,1.28,1.36,0.7798598507157714
0.64,0.72,1.36,1.44,0.8251348282713599
0.64,0.72,1.44,1.52,0.875940249787113
0.64,0.72,1.52,1.6,0.8735077056652922
0.64,0.72,1.6,1.68,0.9076170980687907
0.64,0.72,1.68,1.76,0.9196465085669963
0.64,0.72,1.76,1.84,0.9370567264994684
0.64,0.72,1.84,1.92,0.940407416369246
0.64,0.72,1.92,2.0,0.9428562544052407
0.64,0.72,2.0,2.08,0.9528439049976527
0.64,0.72,2.08,2.16,0.9543192213359257
0.64,0.72,2.16,2.24,0.9544410262865956
0.64,0.72,2.24,2.32,0.9654906935098763
0.64,0.72,2.32,2.4,0.9648187096205434
0.64,0.72,2.4,2.48,0.9648984469811311
0.64,0.72,2.48,2.56,0.9695700016126125
0.64,0.72,2.56,2.64,0.9736564064068463
0.64,0.72,2.64,2.72,0.9757380073800739
0.64,0.72,2.72,2.8,0.9779528829771056
0.64,0.72,2.8,2.88,0.98162837560579
0.64,0.72,2.88,2.96,0.9791155579539985
0.64,0.72,2.96,3.04,0.9806418394266462
0.64,0.72,3.04,3.12,0.9825044202904998
0.64,0.72,3.12,3.2,0.9833361718232567
0.64,0.72,3.2,3.28,0.9847772263649295
0.64,0.72,3.28,3.36,0.9846593971557693
0.64,0.72,3.36,3.44,0.9863749976916902
0.64,0.72,3.44,3.52,0.9866798667986679
0.64,0.72,3.52,3.6,0.98684327329878
0.64,0.72,3.6,3.68,0.9885010079747063
0.64,0.72,3.68,3.76,0.9876621735962582
0.64,0.72,3.76,3.84,0.9899457642612682
0.64,0.72,3.84,3.92,0.9890844213010659
0.64,0.72,3.92,4.0,0.9898679883198538
0.64,0.72,4.0,4.08,0.9901568133328392
0.64,0.72,4.08,4.16,0.9913298295578908
0.64,0.72,4.16,4.24,0.9914783054713139
0.64,0.72,4.24,4.32,0.991480442804428
0.64,0.72,4.32,4.4,0.9916980368011967
0.64,0.72,4.4,4.48,0.9928985363679143
0.64,0.72,4.48,4.56,0.9921578595187358
0.64,0.72,4.56,4.64,0.9939100283101386
0.64,0.72,4.64,4.72,0.9929754135568037
0.64,0.72,4.72,4.8,0.9941797608530164
0.64,0.72,4.8,4.88,0.9936374561827354
0.64,0.72,4.88,4.96,0.9949555340495864
0.64,0.72,4.96,5.04,0.9941374890848146
0.64,0.72,5.04,5.12,0.9953198797444004
0.64,0.72,5.12,5.2,0.9948152646083422
0.64,0.72,5.2,5.28,0.9943260852765594
0.72,0.8,0.0,0.08,0.0
0.72,0.8,0.08,0.16,0.0
0.72,0.8,0.16,0.24,0.0
